id,spacegroup,density,energy,minimization_step,trial_number,minimization_time,metadata
ttbi-QR-60-10018-3,60,1.0221,-154.0937,3,10018,28.2233829498291,
ttbi-QR-88-19549-3,88,1.0215,-154.0792,3,19549,29.929251194000244,
ttbi-QR-15-8753-3,15,1.1561,-154.0759,3,8753,16.971399068832397,
ttbi-QR-14-12324-3,14,1.0721,-154.0725,3,12324,23.458967685699463,
ttbi-QR-14-13101-3,14,0.9883,-154.064,3,13101,24.115230321884155,
ttbi-QR-14-12574-3,14,0.8429,-154.0629,3,12574,14.149218320846558,
ttbi-QR-15-16419-3,15,1.1342,-154.0577,3,16419,18.099666833877563,
ttbi-QR-60-544-3,60,1.0365,-154.0518,3,544,28.43480610847473,
ttbi-QR-60-19102-3,60,1.1737,-154.0457,3,19102,34.12691807746887,
ttbi-QR-15-4820-3,15,0.8371,-154.043,3,4820,86.83486223220825,
ttbi-QR-43-11305-3,43,1.2227,-154.0389,3,11305,17.174185752868652,
ttbi-QR-43-6464-3,43,1.1532,-154.0146,3,6464,18.194733142852783,
ttbi-QR-15-20276-3,15,1.0052,-154.0074,3,20276,19.445784330368042,
ttbi-QR-4-378-3,4,1.2077,-153.9974,3,378,25.004054069519043,
ttbi-QR-20-31585-3,20,1.2145,-153.9948,3,31585,16.999417066574097,
ttbi-QR-14-13125-3,14,0.9852,-153.9927,3,13125,21.682328701019287,
ttbi-QR-15-13198-3,15,0.9466,-153.9862,3,13198,15.270651817321777,
ttbi-QR-9-11924-3,9,1.184,-153.9759,3,11924,9.356531381607056,
ttbi-QR-14-6965-3,14,0.8741,-153.9754,3,6965,15.649450302124023,
ttbi-QR-19-11224-3,19,1.193,-153.9675,3,11224,16.843897581100464,
ttbi-QR-14-13555-3,14,0.9821,-153.9626,3,13555,20.955408573150635,
ttbi-QR-88-21428-3,88,1.1046,-153.9591,3,21428,31.64262366294861,
ttbi-QR-15-18032-3,15,1.0651,-153.9417,3,18032,34.38528370857239,
ttbi-QR-56-528-3,56,1.1362,-153.9298,3,528,33.868441104888916,
