id,spacegroup,density,energy,PBE_lattice_energy_kjmol,rel_energy,rel_PBE_energy,diff,rel_diff
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6386,1,1.7712,-81.7617,-89.84476338,5.4444,11.55044262,-8.083063378,6.106042619
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6447,1,1.7594,-82.3177,-90.30151638,4.8884,11.09368962,-7.983816381,6.205289615
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6491,1,1.8258,-83.1887,-90.77303091,4.0174,10.62217508,-7.584330913,6.604775084
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6494,1,1.8258,-81.3624,-88.26957633,5.8437,13.12562967,-6.907176329,7.281929667
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6531,1,1.8283,-80.8049,-87.46268659,6.4012,13.93251941,-6.657786588,7.531319409
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6603,1,1.7727,-80.8956,-88.32054518,6.3105,13.07466082,-7.424945175,6.764160821
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6623,1,1.8245,-81.0508,-89.40856778,6.1553,11.98663822,-8.357767776,5.831338221
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6648,1,1.8243,-80.6183,-89.40627939,6.5878,11.98892661,-8.787979385,5.401126611
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6651,1,1.8231,-80.6524,-89.40502773,6.5537,11.99017827,-8.75262773,5.436478267
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6716,1,1.7476,-80.8098,-88.76761926,6.3963,12.62758674,-7.957819255,6.231286742
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6720,1,1.7476,-81.2562,-89.49029397,5.9499,11.90491203,-8.234093967,5.95501203
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6760,1,1.749,-80.656,-88.5492127,6.5501,12.8459933,-7.893212701,6.295893296
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6798,1,1.749,-80.9691,-88.9640742,6.237,12.4311318,-7.994974196,6.194131801
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6858,1,1.7446,-80.8112,-89.53987704,6.3949,11.85532895,-8.728677043,5.460428954
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6918,1,1.7158,-81.16,-88.93617957,6.0461,12.45902643,-7.77617957,6.412926427
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6935,1,1.7392,-81.4917,-88.54367034,5.7144,12.85153565,-7.051970344,7.137135653
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-6948,1,1.7,-80.8197,-86.92106728,6.3864,14.47413872,-6.101367279,8.087738718
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7001,1,1.7251,-81.4773,-87.56762401,5.7288,13.82758199,-6.090324008,8.098781989
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7054,1,1.7263,-81.1733,-89.28666341,6.0328,12.10854258,-8.113363414,6.075742583
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7104,1,1.7771,-81.0215,-89.93000284,6.1846,11.46520316,-8.908502841,5.280603156
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7118,1,1.7771,-80.2451,-89.53039857,6.961,11.86480743,-9.285298567,4.903807429
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7124,1,1.7771,-80.8236,-90.34026681,6.3825,11.05493919,-9.516666811,4.672439186
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7126,1,1.7771,-82.0649,-91.91369035,5.1412,9.481515647,-9.848790349,4.340315647
oxalac_opt-QR-29-12630-3_P1-Thre-1-0-0-7139,1,1.7771,-80.3397,-87.72952032,6.8664,13.66568567,-7.389820324,6.799285673
